#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  23
#! SET periodic_phi true
   -3.141592654 -123.862101275  -49.852560706
   -2.868410684 -135.097509389  -31.117025790
   -2.595228714 -140.762713988  -11.182074918
   -2.322046744 -142.021793537    0.115222604
   -2.048864774 -141.637697296    1.440061698
   -1.775682804 -141.503923028   -0.082148174
   -1.502500834 -141.117867963    4.392919235
   -1.229318864 -138.288683724   17.499704328
   -0.956136895 -131.308808471   33.149786617
   -0.682954925 -120.949583654   40.423063263
   -0.409772955 -110.733509346   31.443149827
   -0.136590985 -105.155404051    7.594990218
    0.136590985 -106.947975637  -20.098412972
    0.409772955 -115.107240419  -36.646663042
    0.682954925 -124.978488420  -31.731605501
    0.956136895 -130.558701803   -6.513370263
    1.229318864 -127.822927520   26.367137364
    1.502500834 -117.058013169   49.482787768
    1.775682804 -102.861117615   50.245644400
    2.048864774  -91.780888791   27.580659583
    2.322046744  -88.967301052   -7.793952233
    2.595228714  -95.713953528  -39.710045678
    2.868410684 -109.117048393  -54.983168756
